iter	Passed	Remaining
0	1	110
1	2	109
2	3	106
3	4	98
4	5	99
5	6	98
6	7	96
7	8	94
8	9	92
9	10	91
10	11	95
11	12	93
12	13	92
13	14	90
14	15	89
15	16	89
16	18	88
17	19	88
18	20	88
19	21	86
20	22	85
21	24	86
22	26	87
23	27	87
24	28	85
25	29	85
26	31	84
27	32	83
28	33	82
29	34	80
30	35	79
31	36	78
32	38	77
33	39	76
34	41	76
35	42	75
36	43	74
37	44	73
38	46	72
39	47	71
40	48	69
41	49	67
42	50	66
43	51	65
44	52	64
45	54	64
46	56	63
47	58	62
48	59	61
49	60	60
50	61	58
51	62	57
52	63	56
53	65	55
54	66	54
55	67	52
56	68	51
57	70	51
58	71	49
59	73	48
60	74	47
61	75	46
62	77	45
63	78	44
64	79	43
65	81	41
66	82	40
67	83	39
68	84	38
69	86	37
70	87	35
71	88	34
72	90	33
73	91	32
74	93	31
75	94	29
76	95	28
77	97	27
78	98	26
79	100	25
80	101	23
81	103	22
82	104	21
83	105	20
84	106	18
85	108	17
86	109	16
87	110	15
88	112	13
89	113	12
90	114	11
91	116	10
92	117	8
93	118	7
94	120	6
95	121	5
96	122	3
97	123	2
98	125	1
99	126	0
