iter	Passed	Remaining
0	150	150301
1	151	75636
2	153	50999
3	154	38434
4	155	30887
5	156	25887
6	157	22292
7	158	19602
8	158	17502
9	159	15835
10	160	14467
11	161	13320
12	162	12356
13	164	11552
14	165	10839
15	166	10237
16	167	9694
17	168	9195
18	169	8754
19	170	8351
20	171	7986
21	172	7657
22	173	7357
23	174	7087
24	175	6837
25	176	6607
26	177	6387
27	178	6199
28	179	6016
29	180	5850
30	182	5708
31	183	5564
32	184	5416
33	185	5276
34	186	5144
35	187	5022
36	188	4904
37	189	4794
38	190	4688
39	191	4590
40	192	4497
41	193	4418
42	194	4339
43	196	4276
44	197	4197
45	198	4122
46	199	4053
47	200	3982
48	202	3921
49	202	3856
50	203	3795
51	204	3736
52	205	3677
53	206	3623
54	208	3582
55	209	3533
56	210	3484
57	212	3453
58	213	3405
59	214	3360
60	215	3314
61	216	3271
62	217	3230
63	218	3191
64	219	3152
65	220	3114
66	221	3079
67	222	3053
68	223	3019
69	224	2986
70	226	2961
71	227	2928
72	228	2897
73	229	2866
74	230	2840
75	231	2811
76	232	2781
77	233	2755
78	234	2728
79	234	2702
80	235	2676
81	236	2651
82	238	2629
83	239	2609
84	240	2587
85	242	2572
86	242	2549
87	243	2527
88	244	2505
89	245	2484
90	246	2464
91	247	2444
92	248	2425
93	249	2406
94	250	2389
95	252	2378
96	253	2360
97	254	2344
98	256	2329
99	257	2313
100	258	2296
101	258	2279
102	259	2263
103	260	2246
104	261	2231
105	262	2216
106	263	2201
107	264	2187
108	266	2174
109	267	2165
110	268	2154
111	270	2144
112	271	2130
113	272	2116
114	273	2104
115	274	2090
116	274	2075
117	275	2061
118	276	2047
119	277	2035
120	278	2023
121	279	2009
122	280	1999
123	281	1989
124	282	1978
125	284	1972
126	285	1960
127	286	1949
128	287	1939
129	288	1929
130	289	1918
131	290	1908
132	291	1898
133	292	1888
134	293	1879
135	294	1870
136	295	1864
137	297	1855
138	298	1850
139	299	1841
140	300	1833
141	301	1822
142	302	1813
143	303	1804
144	304	1796
145	305	1787
146	306	1779
147	307	1770
148	308	1762
149	309	1754
150	311	1750
151	312	1742
152	313	1737
153	314	1729
154	315	1721
155	316	1714
156	317	1707
157	318	1699
158	319	1691
159	320	1684
160	321	1675
161	322	1668
162	323	1661
163	324	1654
164	326	1649
165	327	1645
166	328	1638
167	329	1631
168	330	1624
169	331	1618
170	332	1612
171	333	1606
172	334	1599
173	335	1592
174	336	1586
175	337	1581
176	338	1575
177	340	1570
178	341	1567
179	342	1561
180	343	1555
181	344	1549
182	345	1543
183	346	1537
184	347	1531
185	348	1526
186	349	1520
187	350	1515
188	351	1509
189	352	1504
190	354	1501
191	356	1498
192	357	1493
193	358	1488
194	359	1482
195	360	1477
196	360	1471
197	361	1465
198	362	1460
199	363	1455
200	364	1450
201	365	1445
202	366	1440
203	368	1436
204	369	1431
205	370	1428
206	371	1423
207	372	1418
208	373	1413
209	374	1408
210	375	1404
211	376	1399
212	377	1395
213	378	1391
214	379	1386
215	381	1382
216	382	1378
217	383	1374
218	384	1371
219	386	1368
220	387	1364
221	388	1359
222	388	1355
223	390	1351
224	391	1346
225	392	1342
226	392	1338
227	393	1334
228	395	1330
229	396	1326
230	397	1322
231	398	1318
232	399	1316
233	401	1312
234	402	1308
235	403	1305
236	404	1301
237	405	1296
238	406	1292
239	407	1288
240	408	1285
241	409	1281
242	410	1278
243	411	1274
244	412	1271
245	413	1267
246	415	1266
247	416	1262
248	417	1258
249	418	1255
250	419	1251
251	420	1247
252	421	1244
253	422	1241
254	423	1237
255	424	1234
256	426	1232
257	427	1229
258	429	1227
259	430	1224
260	431	1220
261	432	1217
262	433	1214
263	434	1211
264	435	1208
265	436	1205
266	437	1202
267	439	1199
268	440	1195
269	441	1193
270	442	1190
271	444	1188
272	445	1185
273	446	1182
274	447	1179
275	448	1175
276	449	1172
277	450	1169
278	451	1166
279	452	1163
280	453	1160
281	454	1156
282	455	1153
283	456	1150
284	457	1148
285	459	1146
286	460	1143
287	461	1140
288	462	1137
289	463	1133
290	464	1130
291	465	1127
292	466	1124
293	467	1121
294	468	1119
295	469	1116
296	470	1114
297	471	1111
298	473	1110
299	474	1108
300	475	1105
301	477	1102
302	478	1100
303	479	1097
304	480	1094
305	481	1092
306	482	1089
307	483	1087
308	485	1084
309	486	1082
310	488	1081
311	489	1078
312	490	1075
313	491	1072
314	492	1070
315	493	1067
316	494	1064
317	495	1061
318	496	1059
319	497	1056
320	498	1053
321	499	1051
322	500	1048
323	501	1046
324	503	1045
325	504	1042
326	505	1039
327	506	1037
328	507	1034
329	508	1031
330	509	1028
331	510	1026
332	510	1023
333	511	1020
334	512	1018
335	513	1015
336	515	1013
337	516	1012
338	518	1010
339	519	1007
340	520	1005
341	521	1002
342	522	1000
343	523	997
344	524	995
345	525	992
346	526	990
347	527	988
348	528	986
349	529	983
350	531	981
351	532	980
352	533	978
353	534	975
354	535	973
355	536	970
356	537	968
357	538	966
358	539	964
359	541	961
360	542	959
361	543	957
362	544	955
363	545	953
364	547	952
365	548	949
366	549	947
367	550	945
368	551	942
369	552	940
370	553	937
371	554	935
372	555	933
373	556	931
374	557	928
375	558	926
376	559	924
377	561	923
378	562	921
379	563	919
380	564	917
381	565	914
382	566	912
383	567	910
384	568	908
385	569	905
386	570	903
387	571	901
388	572	899
389	573	897
390	575	895
391	576	894
392	577	892
393	578	889
394	579	887
395	580	885
396	581	883
397	582	881
398	583	879
399	584	877
400	585	874
401	586	872
402	587	870
403	589	868
404	590	866
405	591	865
406	592	863
407	593	861
408	594	859
409	595	857
410	596	854
411	597	852
412	598	850
413	599	848
414	600	846
415	601	844
416	602	842
417	603	840
418	604	838
419	606	837
420	607	835
421	608	832
422	609	830
423	610	828
424	611	826
425	611	824
426	612	822
427	613	820
